"PWSID","SYSTEM NAME","ACTIVITY CODE","CLIENT ID","SITE ID","PRIMARY FACILITY ID","SYSTEM TYPE","OWNER TYPE","POPULATION SERVED","NONTRANSIENT POPULATION SERVED","CONSECUTIVE INDICATOR","PRIMARY SELLER","REGULATED BY","PRIMARY SOURCE","PRIMARY SELLER STATE","VENDING PWS PERM BY RULE","SERVICE CONNECTIONS","COUNTY","DISTRICT","REGION"
"6430991","KATIES KORNER","INACTIVE","255177","263886","283340","TRANSIENT NONCOMM","INVESTOR","30","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430896","KELLYS DAIRY ISLE","INACTIVE","76288","260429","276032","TRANSIENT NONCOMM","INVESTOR","40","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431078","KEYSTONE ADOLESCENT CENTER","ACTIVE","111062","481697","701991","NONTRANSIENT NONCOMM","INVESTOR","50","50","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430893","KEYSTONE CHARTER SCHOOL","ACTIVE","111062","264754","284602","NONTRANSIENT NONCOMM","INVESTOR","225","225","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431038","KEYSTONE JUNCTION","INACTIVE","132418","250696","258379","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431104","KEYSTONE SAFARI","ACTIVE","341084","827917","824646","NONTRANSIENT NONCOMM","INVESTOR","100","50","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431030","KRAYNAK SEASONAL FARM LBR CAMP","INACTIVE","1822","261623","279221","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","18","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431018","KRISTYAK'S SERVICE PLAZA","INACTIVE","58588","269536","290423","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430895","KYLE FARM EQUIPMENT","INACTIVE","76287","260425","276027","TRANSIENT NONCOMM","INVESTOR","26","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430044","LACKAWANNOCK MOBILE HOME PARK","INACTIVE","145969","454557","474231","COMMUNITY","INVESTOR","90","0","NOT CONSECUTIVE","","STATE","GROUND","","","32","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430011","LAKEVIEW MHP C/O W BRUCE LANE","INACTIVE","305277","451529","478432","COMMUNITY","INVESTOR","14","0","NOT CONSECUTIVE","","STATE","GROUND","","","7","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431001","LAKEWAY RESTAURANT","INACTIVE","58552","449469","475565","TRANSIENT NONCOMM","INVESTOR","400","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430949","LAKEWAY RESTAURANT","INACTIVE","58552","449469","276294","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430875","LARKFIELD DRIVE-IN","INACTIVE","58541","443854","468143","TRANSIENT NONCOMM","INVESTOR","150","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431053","LAST MINIT MART JAMESTOWN","ACTIVE","372569","512856","550593","TRANSIENT NONCOMM","INVESTOR","200",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430836","LAUBSCHER HOUSE CHEESE","INACTIVE","64515","264739","284572","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430821","LAUBSCHERS CHEESE","INACTIVE","64515","264739","258060","TRANSIENT NONCOMM","INVESTOR","60","30","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430832","LEES COUNTRY RESTAURANT","INACTIVE","64218","250526","258148","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6370040","LEESBURG COMMUNITY WATER ASSOC","INACTIVE","5362","448462","481645","COMMUNITY","WATER ASSOCIATION","180","0","NOT CONSECUTIVE","","STATE","GROUND","","","60","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430891","LEESBURG ELEM SCH(GROVE CITY)","INACTIVE","76478","453514","481076","TRANSIENT NONCOMM","INVESTOR","140","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430999","LEESBURG WATER ASSOCIATION","ACTIVE","5362","448462","474267","COMMUNITY","WATER ASSOCIATION","150","0","NOT CONSECUTIVE","","STATE","GROUND","","","71","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430960","LEISURE LAKE CAMPGROUNDS","INACTIVE","58559","260619","276307","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431051","LEO MART","ACTIVE","295837","493405","542922","TRANSIENT NONCOMM","INVESTOR","100",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430041","LIBERTY ACRES MHP","ACTIVE","327360","263617","282864","COMMUNITY","INVESTOR","47","0","NOT CONSECUTIVE","","STATE","GROUND","","","27","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431044","LIBERTY LANES","ACTIVE","345325","481627","564836","TRANSIENT NONCOMM","INVESTOR","26",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430079","LIBERTY TOWNSHIP","ACTIVE","141109","718665","717520","COMMUNITY","MUNICIPALITY","50",".","CONSECUTIVE","6430040","STATE","PURCHASED GROUND","PA","","41","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431062","LIFE CARE CANCER CENTER","INACTIVE","112931","473728","564689","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430822","LINDEYS","INACTIVE","72768","446957","472447","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430983","LITTLE DIAMOND TRUCK STOP","INACTIVE","76306","261593","279095","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430830","LOCUST GROVE","ACTIVE","64518","448500","474308","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
