"PWSID","SYSTEM NAME","ACTIVITY CODE","CLIENT ID","SITE ID","PRIMARY FACILITY ID","SYSTEM TYPE","OWNER TYPE","POPULATION SERVED","NONTRANSIENT POPULATION SERVED","CONSECUTIVE INDICATOR","PRIMARY SELLER","REGULATED BY","PRIMARY SOURCE","PRIMARY SELLER STATE","VENDING PWS PERM BY RULE","SERVICE CONNECTIONS","COUNTY","DISTRICT","REGION"
"6430802","COLONIAL INN MOTEL","ACTIVE","332074","269569","290458","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431058","COMBINED TACTICAL SYSTEMS","INACTIVE","120487","725379","562967","NONTRANSIENT NONCOMM","INVESTOR","55","55","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","3","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430300","COMMODORE PERRY SCHOOL","ACTIVE","23962","257748","271900","NONTRANSIENT NONCOMM","OTHER","550","550","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430850","COMMON GROUND","INACTIVE","212726","244898","249847","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431055","COMPADRES MEXICAN RESTAURANT","ACTIVE","236316","463500","555040","TRANSIENT NONCOMM","OTHER","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430944","COMPONENTS INTERTECHNOLOGIES","INACTIVE","112856","257372","289423","NONTRANSIENT NONCOMM","INVESTOR","82","82","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431109","CONTROLLED MOLDING INC","ACTIVE","212148","611409","845488","NONTRANSIENT NONCOMM","INVESTOR","32","32","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430962","COOL SPRINGS CAFE","INACTIVE","161946","250621","258284","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431073","COOL SPRINGS FITNESS","ACTIVE","345335","627770","653842","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","125",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430974","COOPER BESSEMER RECIP DV","INACTIVE","142880","49027","50829","TRANSIENT NONCOMM","INVESTOR","350","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430320","COOPER ENERGY SERVICE","INACTIVE","142880","49027","50828","TRANSIENT NONCOMM","INVESTOR","350","0","NOT CONSECUTIVE","0000001","STATE","GROUND","PA","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430947","COPPER BESSEMER RECIP DIVISON","INACTIVE","76303","260600","276279","TRANSIENT NONCOMM","N","200","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430866","CORRAL (THE)","INACTIVE","58539","443841","468122","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430063","COUNTRY CORNER RV PARK","ACTIVE","305277","451529","478433","COMMUNITY","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","123","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430002","COUNTRY ESTATES","ACTIVE","287851","247520","480923","COMMUNITY","INVESTOR","90","0","NOT CONSECUTIVE","","STATE","GROUND","","","27","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431035","COUNTRY FAIR STORE #44","ACTIVE","86380","269537","290424","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430033","COUNTRYSIDE CONVALESCENT HOME","INACTIVE","80180","264199","283873","COMMUNITY","OTHER","90","0","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430843","COUNTY LINE CAFE","ACTIVE","94523","250436","258047","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","150","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430070","COZY OAKS MHP","ACTIVE","74561","264067","283655","COMMUNITY","INVESTOR","65","0","NOT CONSECUTIVE","","STATE","GROUND","","","41","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430849","COZY OAKS RV RESORT","ACTIVE","375847","451315","478128","TRANSIENT NONCOMM","INVESTOR","300","0","NOT CONSECUTIVE","","STATE","GROUND","","","250","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430018","CRANBERRY MHP","INACTIVE","58519","452869","480315","COMMUNITY","INVESTOR","42","0","NOT CONSECUTIVE","","STATE","GROUND","","","12","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431096","CREEKSIDE COUNTRY STORE","ACTIVE","316029","788330","781680","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431031","CRESSWELL GENERAL STORE","INACTIVE","299514","448679","474562","TRANSIENT NONCOMM","OTHER","50",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430315","CUSTALOGA TOWN SCOUT CAMP","ACTIVE","58523","249107","256037","TRANSIENT NONCOMM","OTHER","300","0","NOT CONSECUTIVE","","STATE","GROUND","","","12","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431032","D M CAMPSEY SEED AND FEED","INACTIVE","58477","261625","279225","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431082","DAWNS DELI","ACTIVE","327510","707875","709650","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430816","DEAN DAIRY","INACTIVE","141758","452218","284563","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430906","DELAWARE TWP MUN BLDG","ACTIVE","64314","264757","284605","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","3","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430897","DIEHL AUTOMOTIVE OF GROVE CITY","ACTIVE","347527","260431","276034","NONTRANSIENT NONCOMM","INVESTOR","50","31","NOT CONSECUTIVE","","STATE","GROUND","","","4","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430970","DIPSY DOODLE DRIVE IN","INACTIVE","58563","255134","266985","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431103","DOLLAR GEN 10324 NEW WILMING","INACTIVE","342007","828758","826018","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431095","DOLLAR GEN 14900 SHEAKLEYVILLE","ACTIVE","314304","785950","779106","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431101","DOLLAR GEN 17753 JACKSON CTR","ACTIVE","365512","825094","821251","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431105","DOLLAR GEN 18430 FREDONIA","ACTIVE","343729","830245","827309","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431107","DOLLAR GEN 4940 GROVE CITY","ACTIVE","351218","837573","837370","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431100","DOLLAR GEN 8289 STONEBORO","ACTIVE","368531","818721","813234","TRANSIENT NONCOMM","INVESTOR","200",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431113","DOLLAR GENERAL NEW WILM 10324","ACTIVE","373095","860521","869187","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430834","DRAW BAR AND GRILLE","INACTIVE","239062","264595","284373","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430907","ENCHANTED ACRES","INACTIVE","64315","260542","276178","TRANSIENT NONCOMM","INVESTOR","40","0","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430878","EZS ORANGEVILLE TAVERN","ACTIVE","215249","450889","477576","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431085","FERRARAS PIZZA EXPRESS","INACTIVE","275159","724701","723526","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430889","FIVE POINTS TAVERN AND GRILL","INACTIVE","272607","260415","276014","TRANSIENT NONCOMM","INVESTOR","45","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430062","FORREST BROOKE MHP","ACTIVE","139895","244047","248761","COMMUNITY","INVESTOR","491","0","NOT CONSECUTIVE","","STATE","GROUND","","","280","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430036","FREDONIA BORO","ACTIVE","34929","240873","244483","COMMUNITY","MUNICIPALITY","443","0","NOT CONSECUTIVE","","STATE","GROUND","","","254","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431015","GARAGE BAR AND GRILL","ACTIVE","305024","448513","474323","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430800","GEORGE JR. REPUBLIC","INACTIVE","348030","263953","283448","TRANSIENT NONCOMM","INVESTOR","290","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430978","GERTS CATERING SERVICE","INACTIVE","58565","264773","284624","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430014","GLEN LAKE ESTATES","ACTIVE","314053","244055","248773","COMMUNITY","INVESTOR","94","0","NOT CONSECUTIVE","","STATE","GROUND","","","44","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431112","GMAS TAKE OUT HOME COOKING","ACTIVE","368082","855100","859459","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430045","GOLDEN AGE TRAILER PARK","INACTIVE","58521","453054","480543","COMMUNITY","INVESTOR","65","0","NOT CONSECUTIVE","","STATE","GROUND","","","30","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430042","GRANDVIEW ACRES MHP","ACTIVE","338398","243909","248573","COMMUNITY","INVESTOR","70","0","NOT CONSECUTIVE","","STATE","GROUND","","","39","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431004","GRANTHAMS LANDING","ACTIVE","58580","255150","267001","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430976","GREENS OF GREENVILLE","INACTIVE","351443","446614","472024","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431080","GREENVILLE AREA SPORTS COMPLEX","ACTIVE","237287","700529","702252","TRANSIENT NONCOMM","MUNICIPALITY","50",".","NOT CONSECUTIVE","","STATE","GROUND","","","3","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430996","GREENVILLE AUCTION BARN","INACTIVE","67622","450924","477620","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430039","GREENVILLE MHP","ACTIVE","332012","264200","283876","COMMUNITY","INVESTOR","150","0","NOT CONSECUTIVE","","STATE","GROUND","","","73","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430037","GREENVILLE MUNI WATER AUTH","ACTIVE","25179","262460","281183","COMMUNITY","AUTHORITY","8,600","0","NOT CONSECUTIVE","","STATE","SURFACE","","","3,175","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430975","GREENVILLE VFW POST 3374","ACTIVE","64342","261582","279038","TRANSIENT NONCOMM","OTHER","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430073","GREYSTONE COUNTRY ESTATES","ACTIVE","114360","487161","570896","COMMUNITY","INVESTOR","55",".","NOT CONSECUTIVE","","STATE","GROUND","","","40","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430040","GROVE CITY BORO WATER DEPT","ACTIVE","174","447196","472793","COMMUNITY","MUNICIPALITY","8,322","0","NOT CONSECUTIVE","","STATE","GROUND","","","2,940","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431063","GROVE CITY CHRISTIAN ALLIANCE","INACTIVE","161095","553225","570792","TRANSIENT NONCOMM","OTHER","300",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430908","GROVE CITY COUNTRY CLUB","ACTIVE","34111","243710","248312","TRANSIENT NONCOMM","INVESTOR","250","0","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431111","GROVE CITY MED CENTER","ACTIVE","51912","448599","855861","NONTRANSIENT NONCOMM","OTHER","642","290","CONSECUTIVE","6430061","STATE","PURCHASED GROUND","PA","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430319","GT1 CORP","INACTIVE","112856","257372","271251","TRANSIENT NONCOMM","INVESTOR","350","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430909","HADLEY STORE-%G JORDAN","INACTIVE","58544","260545","276186","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430993","HEADLINERS GENTLEMENS CLUB","ACTIVE","338964","261594","279103","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430072","HEMLOCK MHP","ACTIVE","289803","464861","650786","COMMUNITY","PRIVATE INDIVIDUAL","45",".","NOT CONSECUTIVE","","STATE","GROUND","","","23","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430911","HEMPFIELD TOWNSHIP PARK","ACTIVE","52893","450095","476507","TRANSIENT NONCOMM","MUNICIPALITY","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","5","Mercer","NORTH MEADVILLE","NORTHWEST"
"6436032","HERRMANNS BOTTLED WATER","INACTIVE","58595","250697","258381","BOTTLED WATER","INVESTOR","1,000","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430009","HILLCREST MOBILE PARK","INACTIVE","116600","263600","282839","COMMUNITY","INVESTOR","63","0","NOT CONSECUTIVE","","STATE","GROUND","","","36","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430984","HILLTOP TAVERN","ACTIVE","344503","255141","266992","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430837","HITCH N POST","INACTIVE","311954","264728","284558","TRANSIENT NONCOMM","INVESTOR","84","0","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430998","HOFFMANS SANDY LAKE DINER","INACTIVE","6807","264356","284086","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430081","HOLIDAY MANOR APT COMPLEX","INACTIVE","282857","738929","738855","COMMUNITY","INVESTOR","80",".","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","40","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431013","HORIZON HOSPITAL SYSTEM","INACTIVE","32960","529302","290412","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431029","HORSESHOE DANCE HALL","INACTIVE","58592","261617","279201","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","2","Mercer","NORTH MEADVILLE","NORTHWEST"
