"PWSID","SYSTEM NAME","ACTIVITY","SYSTYPE","SAMPLE POINT ID","SAMPLE POINT AVAILABILITY","SAMPLE POINT NAME","TTHM MONITORING LOCATION","HAA5 MONITORING LOCATION","CLIENT ID","SITE ID","PRMRY_FAC_ID","POPULATION SERVED","PRIMARY SOURCE","DISTRICT","REGION","COUNTY","RTCR MONITORING LOCATION","SEASONAL START UP LOCATION"
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","815","PERMANENT","NEW WILMINGTON TANK","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","816","PERMANENT","BOYD BOOSTER","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","817","PERMANENT","800 N HERMITAGE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","818","PERMANENT","MERCER COURTHOUSE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","819","PERMANENT","LAKEWOOD BOOSTER","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","820","ABANDONED","504 RIVERSIDE DRIVE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","821","PERMANENT","2340 QUALITY LANE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","822","PERMANENT","1749 N HERMITAGE RD","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","823","PERMANENT","2575 E STATE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","824","PERMANENT","HERMITAGE BUS GARAGE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","825","PERMANENT","2079 EAST STATE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","826","PERMANENT","SHARON COUNTRY CLUB","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","827","PERMANENT","BUHL CLUB","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","828","PERMANENT","TICTOC MARKET","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","829","PERMANENT","62 VAULT","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","830","PERMANENT","579 S HERMITAGE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","831","PERMANENT","31808 MAIN","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","832","PERMANENT","PULASKI STORE","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","833","PERMANENT","811 STATE STREET","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","834","PERMANENT","GAIL TANK","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430054","AQUA PA SHENANGO VALLEY WTP","A","COMMUNITY","835","PERMANENT","200 STERLING AVE LTI","","","309251","262872","281819","48,000","SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","701","PERMANENT","325 SOUTH 8TH STREET","YES","YES","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","702","PERMANENT","MERCER AVE INTERCONN","YES","YES","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","808","PERMANENT","570 SOUTH 8TH","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","814","PERMANENT","580 QUARRY WAY","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","817","PERMANENT","50 S 18TH STREET","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","824","PERMANENT","MERCER AVENUE TANK","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","825","PERMANENT","539 TWITMYER AVE","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
"6430055","SHARPSVILLE BORO WATER CO","A","COMMUNITY","826","PERMANENT","MUNICIPAL GARAGE","","","72630","446971","472467","5,310","PURCHASED SURFACE","NORTH MEADVILLE","NORTHWEST","Mercer","YES",""
